CommentId,VideoId,Text,IsToxic,text_procesado
UgjpvWbzRLwcsHgCoAEC,4rCweDxDqdw,"If the majority of the people in Ferguson are African American than why are their elected officials not African American? The mayor, city council, and police chief are all elected officials.  Are the people in the community not stepping up to fill those roles?",False,majority people ferguson african american elected official african american mayor city council police chief elected official people community stepping fill role
Ugit62Bd8yoNingCoAEC,TZxEyoplYbI,I feel they are thirsty for violence rather then knowledge.,False,feel thirsty violence rather knowledge
UghICkPqoL9jJ3gCoAEC,04kJtp6pVXI,This moron is talking about being peaceful?  Their burning the nation's flag idiot.  Even though that's what you are suppose to do when it's old so they have no knowledge.  They are babies making noise.,True,moron talking peaceful burning nation flag idiot even though thats suppose old knowledge baby making noise
UgjQHirhwcgJDXgCoAEC,04kJtp6pVXI,"The city is full of really, really, really dumb people.  Can't try to reason with them.",True,city full really really really dumb people cant try reason
UgixdxuPaLDtAXgCoAEC,dG7mZQvaQDk,"okay blacklivesmovent thugs  stop with this carp u wanna stand up for a murder but yet a child died by gettin shoot in the cheast all becasue u all wanna act like the plant of the apes movie all because of this excuse me black are killing other blacks and u wanna come after cops and white ppl  and call us names , rastist names all because u  dont get it try lisening to the lawa obeying the the law and stop shooting  inncent ppl  for you own  benfits all of u guys killing other ppl need to be in  jail,",True,okay blacklivesmovent thug stop carp u wanna stand murder yet child died gettin shoot cheast becasue u wanna act like plant ape movie excuse black killing black u wanna come cop white ppl call u name rastist name u dont get try lisening lawa obeying law stop shooting inncent ppl benfits u guy killing ppl need jail
UggkkDy5aXNO-HgCoAEC,dG7mZQvaQDk,"Thank you for the truth, and speaking for the innocent.",False,thank truth speaking innocent
UghrQePFFLNuKHgCoAEC,cT14IbTDW2c,Run them down,True,run
UggmJR4_UwYwvngCoAEC,bUgKZMSxr3E,Ana is fuxking hot,True,ana fuxking hot
UggGaHoBXiLwX3gCoAEC,bUgKZMSxr3E,Man this guy has nothing but a bunch of waffling nonsense coming out of his mouth can you answer the question or what,True,man guy nothing bunch waffling nonsense coming mouth answer question
UgygrXzRRsPCIB-4ZQJ4AaABAg,Dt9-byUhPdg,Lol! Look what it got them!,False,lol look got
UgjR2vUGwXV6ongCoAEC,9pr1oE34bIM,whites are weak,True,white weak
UgwmCnUQnl3h1ueHgYJ4AaABAg,bUgKZMSxr3E,You can't shoot tear gas at professional soldiers but members of the public in your own country is absolutely fine!!,True,cant shoot tear gas professional soldier member public country absolutely fine
Ugiz1wqOhehmZngCoAEC,9pr1oE34bIM,I was with this till he started advocating 2 parent families in 'black' communities and totally lost me from there.,False,till started advocating parent family black community totally lost
UgwDlz2kjxmATeJPerZ4AaABAg,cT14IbTDW2c,*Monkey screamin bout honkies intensifies*,True,monkey screamin bout honky intensifies
UgiZ0uPciaqqCHgCoAEC,4rCweDxDqdw,Is there something wrong with the audio?,False,something wrong audio
UgykEnpNZrYgnb7a9f14AaABAg,cT14IbTDW2c,Run them over. Ignorant fucks the world will do better without them,True,run ignorant fuck world better without
UggKPXGZQ1r7-3gCoAEC,TZxEyoplYbI,So many racist comments. I hate being white sometimes.,False,many racist comment hate white sometimes
Ugi8q6P9SfsxSHgCoAEC,8HB18hZrhXc,shoot first ask questions later hahahahahaha,True,shoot first ask question later hahahahahaha
