text,label
Law enforcement is not trained to shoot to apprehend. They are trained to shoot to kill. And I thank Wilson for killing that punk bitch.,1
Dont you reckon them 'black lives matter' banners being held by white cunts is kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.,1
"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",0
"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion.",0
here people his facebook is he has ties with isis and other terrorist groups he is a muslim extremist,1
"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters."" Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",1
I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing.,1
I agree with the protestor.,0
mike browns father was made to say that boooshit,1
the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,1
"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",0
Masri is about as close as you can get to ISIS in America.,1
We all know with the chimpers there is no compassion in their mud pumping hearts.,1
"""I can believe whatever I wanna believe, I don't care what any of them have to say."" Bassem Masri, you are an idiot.",1
Bassem Masri is a terrorist part of isis,1
I would'nt waist my time trying to reason with this Police spitting Thug. Trying to defend Criminal Brown is a losing matter. The Grand Jury has made they're decision. Live with it.,1
"I wish mr masri was dead,,",1
"Thus, with a collapse of the USA, only two possibilities can be considered, whereby, with the one, it boils down to a dictatorship with evil reprisals, while the other possibility may be a new reconstruction, if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start. But whether this will actually occur, is currently extremely questionable, because presently, in a totalitarian manner, everything is directed towards interests which are economic, military, political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious, misanthropic, criminal and felonious machinations in every imaginable regard. This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods, and so forth, and, in every possible manner being restricted in its freedom, and this is in addition to the violence, as it emerges in some form or other, both openly and covertly.﻿",0
"You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager.",1
"I think ,he kill him",1
LEGALIZE MARIJUANA! Then problems will stop,0
1 word: Provocateur........,0
Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking.,1
"The legal system is inherently racist, same as this CNN reporter",1
He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up...,1
